ID,Year,Date / Period,Organisation(s) Affected,Sector (Primary),Sub-sector,Other Sectors Affected,Incident Type,Method / Attack Vector,Threat Actor (as reported),Reported Loss (UGX bn),Reported Loss (USD m),Data / Systems Affected,Outcome / Response,Confidence,Primary Source(s),Source URL,Notes
UG-001,2011,May–Dec 2011 (exposed Mar 2012),MTN Uganda – Mobile Money,Financial Services,Mobile money (telco-operated),Telecommunications,Insider fraud,Staff abused privileged access and an unreconciled suspense account while the mobile money platform had capacity problems; fictitious subscriber accounts used,Insiders (MTN employees),10.00,3.40,Mobile money suspense account / e-float,"Ex-employees charged in Anti-Corruption Court (embezzlement, electronic fraud); MTN tightened controls",Confirmed,CGAP; Daily Monitor,https://www.cgap.org/blog/fraud-in-uganda-how-millions-were-lost-to-internal-collusion,Figures in court coverage range UGX 5–10bn; CGAP cites UGX 10bn (USD 3.4m).
UG-002,2012,Reported Jun 2012 (ran ~1 year),Uganda Revenue Authority (URA) – customs systems,Government & Public Sector,Tax / revenue administration,,Unauthorised access / system fraud,Illegal access to customs system to push fraudulent transactions; URA did not rule out insider help,4 suspects incl. an ICT specialist and clearing agents,2.00,,Customs clearance system,4 arrested by URA enforcement and police,Confirmed,The Independent; PC Tech Magazine,https://www.independent.co.ug/ugly-face-hacking/,Losses of about UGX 2bn over roughly a year.
UG-003,2012,Aug 2012,"Office of the Prime Minister, Parliament, Uganda Securities Exchange, Uganda Law Society websites; JLOS database",Government & Public Sector,Central government websites,Financial Services; Legal,Website defacement / hacktivism,Websites defaced with spoof statements; JLOS admin passwords exposed,Anonymous / #TheEliteSociety; @PinkNinj4,,,Public websites; admin credentials,Sites restored,Reported,Global Voices; NBC News (Reuters); PinkNews,https://www.nbcnews.com/news/world/activists-hack-uganda-government-website-over-gay-rights-flna946822,Protest against anti-homosexuality bill. By Dec 2012 Anonymous claimed ~9 .go.ug and ~6 commercial sites compromised (PRI).
UG-004,2013,May 2013,"40+ websites: ministries (Finance, ICT, Agriculture, Public Service), KCCA, NITA-U, PPDA, Uganda Police, NARO, district local governments; plus private sites",Government & Public Sector,Central & local government websites,Financial Services; Media; Hospitality,Website defacement / hacktivism,Mass defacement – pages replaced with group message,Islamic Ghosts Team,,,Public websites,Sites taken offline for restoration,Reported,PC Tech Magazine,https://pctechmag.com/2013/05/over-40-uganda-government-websites-hacked-by-islamic-ghosts-team/,"Private victims included Opportunity Bank, Pride Microfinance, WBS TV and hotels."
UG-005,2014,Reported Jun 2014,Makerere University – student results,Education,Higher education,,Unauthorised access / records manipulation,Alleged alteration of student grades in exchange for payment,IT PhD student,,,Academic results records,Suspect arrested,Reported,PC Tech Magazine (NTV),https://pctechmag.com/2014/06/makerere-university-hacker-who-was-altering-student-results-arrested-video/,
UG-006,2014,Reported Jul 2014 (convicted Apr 2015),MTN Uganda – Mobile Money,Financial Services,Mobile money (telco-operated),Telecommunications,Insider fraud,Illegal access to mobile money system; funds wired to 7 registered agent lines,"Insiders (staff, agents, contractors)",3.15,,Mobile money information system,6 convicted by Anti-Corruption Court (Apr 2015); 3 acquitted,Confirmed,NextBillion (citing PC Tech Magazine / TechMoran),https://nextbillion.net/news/former-mtn-uganda-staff-get-9-years-jail-for-mobile-money-fraud,
UG-007,2016,c. 2015–16 (exact date unverified),Ministry of Foreign Affairs website + 20 Uganda High Commission websites,Government & Public Sector,Central government websites,,Website defacement / hacktivism,"Mass defacement, likely via shared server",GeNiuS-JorDan,,,Public websites,Sites restored,Reported,HackRead,https://hackread.com/uganda-high-commission-website-hacked/,Anti-war message; date approximate – verify before citing.
UG-008,2017,Feb–Sep 2017,Makerere University – academic records system,Education,Higher education,,Unauthorised access / records manipulation,Results system infiltrated to falsify marks and add ineligible graduands,"Insiders (staff, alumni, students – 88 implicated)",,,"14,895 transcripts withheld; 58 names withdrawn from graduation list",Transcript system shut down; staff dismissed; police referral,Confirmed,Daily Monitor; University World News,https://www.monitor.co.ug/uganda/news/education/makerere-withholds-14-000-transcripts-over-fake-marks-1693578,
UG-009,2019,Jan 2019,"Ministry of Gender, Labour & Social Development – External Labour Information Management System",Government & Public Sector,Central government systems,,Data breach / exposure,Intrusion to steal labour-export recruitment data; system crashed,Suspected insider,,,Labour export company vetting records & documents,Under investigation,Reported,Daily Monitor (via InfoSec News),https://seclists.org/isn/2019/Jan/64,
UG-010,2019,2019 (year-long),Multiple banks & mobile money providers,Financial Services,Banking & mobile money,Telecommunications,SIM-swap fraud,519 fraudulently swapped pre-registered SIM cards used to transfer money; duplicate national IDs used for SIM registration,Organised fraud rings,,,Customer bank & mobile money accounts,Police investigations,Reported,Serianu – Africa Cybersecurity Report: Uganda 2019/2020,https://www.serianu.com/downloads/UgandaCyberSecurityReport2020.pdf,"Campaign-level entry, not a single incident."
