National cybercrime indicators – Uganda,,,,,,
Aggregate figures from police and industry reports. Sources disagree in places – see Notes column.,,,,,,
,,,,,,
Year,Cybercrime Cases Reported to Police,Change vs Prior Listed Year,Reported Losses (UGX bn),Recovered (UGX bn),Source,Notes
2019,,-,11.45,0.05,Serianu Africa Cybersecurity Report – Uganda 2019/2020 (citing Uganda Police),Case count not given in source.
2022,286,-,19.20,,Uganda Police Annual Crime Report 2025 (via The EastAfrican); loss via Daily Monitor,
2023,245,-14.3%,5.00,,Uganda Police (via The EastAfrican & Daily Monitor),Monitor reports 'over 245 cases' and ~UGX 5bn loss.
2024,474,93.5%,72.10,0.42,"Uganda Police Annual Crime Report 2024 (via Nile Post, Kikubo Lane)",The EastAfrican (Jul 2026) cites UGX 41bn for 2024 – figures conflict.
2025,412,-13.1%,,,Uganda Police Annual Crime Report 2025 (via The EastAfrican),Loss figure not found.
,,,,,,
Other indicators (financial sector focus),,,,,,
Period,Indicator,Value,Source,,,
2024,Licensed financial institutions affected by cybercrime,More than 20,"Uganda Police Force (via The EastAfrican, Jul 2026)",,,
2024,Banking fraud cases / value,110 cases / UGX 5.3bn,Uganda Bankers Association (via The EastAfrican),,,
2024,Digital fraud as share of all fraud cases,31.9%,Uganda Police Annual Cyber Crime Report (via Nile Post),,,
Year to Oct 2021,Losses by Ugandan banks to hackers,> USD 4m (USD 3m from 10 bank-fraud cases),INTERPOL Uganda (via The EastAfrican),,,
2022,SMEs that experienced cyberattacks,40%,NITA-U study (via Nile Post),,,
2019,Fraudulently swapped SIM cards used to steal from banks & mobile money,519,Serianu report (citing Uganda Police),,,
